[0, 513.5534]
[0.0969, 104.3124]
[0.0977, -330.6673]
[0.0984, -283.8533]
[0.0992, -28.0091]
[0.1, 513.5534]
[0.1008, 634.3555]
[0.1016, 284.4791]
[0.1023, -75.6512]
[0.1031, -401.6666]
[0.1039, -114.6163]
[0.1047, 370.8654]
[0.1055, 591.9935]
[0.1062, 570.8443]
[0.107, 29.733]
[0.1078, -300.9437]
[0.1086, -207.3102]
[0.1094, 110.2006]
[0.1102, 638.4364]
[0.1109, 616.244]
[0.1117, 251.6164]
[0.1125, -124.9993]
[0.1133, -371.845]
[0.1141, 26.8834]
[0.1148, 455.1667]
[0.1156, 643.2602]
[0.1164, 516.2043]
[0.1172, -65.2076]
[0.118, -285.9647]
[0.1187, -158.8798]
[0.1195, 227.159]
[0.1203, 699.199]
[0.1211, 548.0991]
[0.1219, 182.5246]
[0.1227, -211.049]
[0.1234, -347.6692]
[0.1242, 127.5608]
[0.125, 490.1559]
[0.1258, 644.6638]
[0.1266, 397.7368]
[0.1273, -179.4243]
[0.1281, -297.2148]
[0.1289, -139.5515]
[0.1297, 313.1636]
[0.1305, 689.7401]
[0.1312, 436.474]
[0.132, 74.3135]
[0.1328, -325.2088]
[0.1336, -328.174]
[0.1344, 183.7156]
[0.1352, 484.5575]
[0.1359, 596.4511]
[0.1367, 229.2705]
[0.1375, -299.633]
[0.1383, -330.0829]
[0.1391, -134.6129]
[0.1398, 371.177]
[0.1406, 623.066]
[0.1414, 300.9887]
[0.1422, -60.8013]
[0.143, -443.3272]
[0.1437, -302.1352]
[0.1445, 208.4143]
[0.1453, 459.3606]
[0.1461, 512.0678]
[0.1469, 40.0245]
[0.1477, -404.1705]
[0.1484, -366.3947]
[0.1492, -119.3899]
[0.15, 413.5534]
[0.1508, 525.9772]
[0.1516, 167.9836]
[0.1523, -199.9833]
[0.1531, -533.5358]
[0.1539, -253.7048]
[0.1547, 224.8926]
[0.1555, 439.4881]
[0.1563, 412.1736]
[0.157, -134.7206]
[0.1578, -470.7842]
[0.1586, -382.1283]
[0.1594, -69.174]
[0.1602, 454.9375]
[0.1609, 429.0628]
[0.1617, 61.2039]
[0.1625, -318.1844]
[0.1633, -567.3374]
[0.1641, -170.4453]
[0.1648, 256.4772]
[0.1656, 443.6884]
[0.1664, 316.2311]
[0.1672, -265.1005]
[0.168, -485.2957]
[0.1688, -357.1687]
[0.1695, 30.3898]
[0.1703, 504.4236]
[0.1711, 355.7868]
[0.1719, -6.8614]
[0.1727, -397.0525]
[0.1734, -529.842]
[0.1742, -50.3424]
[0.175, 316.9509]
[0.1758, 476.5741]
[0.1766, 235.1674]
[0.1773, -336.0817]
[0.1781, -447.5828]
[0.1789, -283.2679]
[0.1797, 176.4452]
[0.1805, 560.3489]
[0.1813, 314.7217]
[0.182, -39.5065]
[0.1828, -430.8224]
[0.1836, -425.3267]
[0.1844, 95.2578]
[0.1852, 405.0078]
[0.1859, 526.0011]
[0.1867, 168.0899]
[0.1875, -351.3968]
[0.1883, -372.3052]
[0.1891, -167.192]
[0.1898, 348.3196]
[0.1906, 609.9854]
[0.1914, 297.7163]
[0.1922, -54.2574]
[0.193, -426.983]
[0.1938, -276.0299]
[0.1945, 244.2176]
[0.1953, 504.7759]
[0.1961, 566.9855]
[0.1969, 104.3124]
[0.1977, -330.6673]
[0.1984, -283.8533]
[0.1992, -28.0091]
[0.2, 513.5534]
[0.2008, 634.3555]
[0.2016, 284.4791]
[0.2023, -75.6512]
[0.2031, -401.6666]
[0.2039, -114.6163]
[0.2047, 370.8654]
[0.2055, 591.9935]
[0.2063, 570.8443]
[0.207, 29.733]
[0.2078, -300.9437]
[0.2086, -207.3102]
[0.2094, 110.2006]
[0.2102, 638.4364]
[0.2109, 616.244]
[0.2117, 251.6164]
[0.2125, -124.9993]
[0.2133, -371.845]
[0.2141, 26.8834]
[0.2148, 455.1667]
[0.2156, 643.2602]
[0.2164, 516.2043]
[0.2172, -65.2076]
[0.218, -285.9647]
[0.2188, -158.8798]
[0.2195, 227.159]
[0.2203, 699.199]
[0.2211, 548.0991]
[0.2219, 182.5246]
[0.2227, -211.049]
[0.2234, -347.6692]
[0.2242, 127.5608]
[0.225, 490.1559]
[0.2258, 644.6638]
[0.2266, 397.7368]
[0.2273, -179.4243]
[0.2281, -297.2148]
[0.2289, -139.5515]
[0.2297, 313.1636]
[0.2305, 689.7401]
[0.2313, 436.474]
[0.232, 74.3135]
[0.2328, -325.2088]
[0.2336, -328.174]
[0.2344, 183.7156]
[0.2352, 484.5575]
[0.2359, 596.4511]
[0.2367, 229.2705]
[0.2375, -299.633]
[0.2383, -330.0829]
[0.2391, -134.6129]
[0.2398, 371.177]
[0.2406, 623.066]
[0.2414, 300.9887]
[0.2422, -60.8013]
[0.243, -443.3272]
[0.2438, -302.1352]
[0.2445, 208.4143]
[0.2453, 459.3606]
[0.2461, 512.0678]
[0.2469, 40.0245]
[0.2477, -404.1705]
[0.2484, -366.3947]
[0.2492, -119.3899]
[0.25, 413.5534]
[0.2508, 525.9772]
[0.2516, 167.9836]
[0.2523, -199.9833]
[0.2531, -533.5358]
[0.2539, -253.7048]
[0.2547, 224.8926]
[0.2555, 439.4881]
[0.2563, 412.1736]
[0.257, -134.7206]
[0.2578, -470.7842]
[0.2586, -382.1283]
[0.2594, -69.174]
[0.2602, 454.9375]
[0.2609, 429.0628]
[0.2617, 61.2039]
[0.2625, -318.1844]
[0.2633, -567.3374]
[0.2641, -170.4453]
[0.2648, 256.4772]
[0.2656, 443.6884]
[0.2664, 316.2311]
[0.2672, -265.1005]
[0.268, -485.2957]
[0.2688, -357.1687]
[0.2695, 30.3898]
[0.2703, 504.4236]
[0.2711, 355.7868]
[0.2719, -6.8614]
[0.2727, -397.0525]
[0.2734, -529.842]
[0.2742, -50.3424]
[0.275, 316.9509]
[0.2758, 476.5741]
[0.2766, 235.1674]
[0.2773, -336.0817]
[0.2781, -447.5828]
[0.2789, -283.2679]
[0.2797, 176.4452]
[0.2805, 560.3489]
[0.2813, 314.7217]
[0.282, -39.5065]
[0.2828, -430.8224]
[0.2836, -425.3267]
[0.2844, 95.2578]
[0.2852, 405.0078]
[0.2859, 526.0011]
[0.2867, 168.0899]
[0.2875, -351.3968]
[0.2883, -372.3052]
[0.2891, -167.192]
[0.2898, 348.3196]
[0.2906, 609.9854]
[0.2914, 297.7163]
[0.2922, -54.2574]
[0.293, -426.983]
[0.2938, -276.0299]
[0.2945, 244.2176]
[0.2953, 504.7759]
[0.2961, 566.9855]
[0.2969, 104.3124]
[0.2977, -330.6673]
[0.2984, -283.8533]
[0.2992, -28.0091]
[0.3, 513.5534]
[0.3008, 634.3555]
[0.3016, 284.4791]
[0.3023, -75.6512]
[0.3031, -401.6666]
[0.3039, -114.6163]
[0.3047, 370.8654]
[0.3055, 591.9935]
[0.3063, 570.8443]
[0.307, 29.733]
[0.3078, -300.9437]
[0.3086, -207.3102]
[0.3094, 110.2006]
[0.3102, 638.4364]
[0.3109, 616.244]
[0.3117, 251.6164]
[0.3125, -124.9993]
[0.3133, -371.845]
[0.3141, 26.8834]
[0.3148, 455.1667]
[0.3156, 643.2602]
[0.3164, 516.2043]
[0.3172, -65.2076]
[0.318, -285.9647]
[0.3188, -158.8798]
[0.3195, 227.159]
[0.3203, 699.199]
[0.3211, 548.0991]
[0.3219, 182.5246]
[0.3227, -211.049]
[0.3234, -347.6692]
[0.3242, 127.5608]
[0.325, 490.1559]
[0.3258, 644.6638]
[0.3266, 397.7368]
[0.3273, -179.4243]
[0.3281, -297.2148]
[0.3289, -139.5515]
[0.3297, 313.1636]
[0.3305, 689.7401]
[0.3313, 436.474]
[0.332, 74.3135]
[0.3328, -325.2088]
[0.3336, -328.174]
[0.3344, 183.7156]
[0.3352, 484.5575]
[0.3359, 596.4511]
[0.3367, 229.2705]
[0.3375, -299.633]
[0.3383, -330.0829]
[0.3391, -134.6129]
[0.3398, 371.177]
[0.3406, 623.066]
[0.3414, 300.9887]
[0.3422, -60.8013]
[0.343, -443.3272]
[0.3438, -302.1352]
[0.3445, 208.4143]
[0.3453, 459.3606]
[0.3461, 512.0678]
[0.3469, 40.0245]
[0.3477, -404.1705]
[0.3484, -366.3947]
[0.3492, -119.3899]
[0.35, 413.5534]
[0.3508, 525.9772]
[0.3516, 167.9836]
[0.3523, -199.9833]
[0.3531, -533.5358]
[0.3539, -253.7048]
[0.3547, 224.8926]
[0.3555, 439.4881]
[0.3563, 412.1736]
[0.357, -134.7206]
[0.3578, -470.7842]
[0.3586, -382.1283]
[0.3594, -69.174]
[0.3602, 454.9375]
[0.3609, 429.0628]
[0.3617, 61.2039]
[0.3625, -318.1844]
[0.3633, -567.3374]
[0.3641, -170.4453]
[0.3648, 256.4772]
[0.3656, 443.6884]
[0.3664, 316.2311]
[0.3672, -265.1005]
[0.368, -485.2957]
[0.3688, -357.1687]
[0.3695, 30.3898]
[0.3703, 504.4236]
[0.3711, 355.7868]
[0.3719, -6.8614]
[0.3727, -397.0525]
[0.3734, -529.842]
[0.3742, -50.3424]
[0.375, 316.9509]
[0.3758, 476.5741]
[0.3766, 235.1674]
[0.3773, -336.0817]
[0.3781, -447.5828]
[0.3789, -283.2679]
[0.3797, 176.4452]
[0.3805, 560.3489]
[0.3813, 314.7217]
[0.382, -39.5065]
[0.3828, -430.8224]
[0.3836, -425.3267]
[0.3844, 95.2578]
[0.3852, 405.0078]
[0.3859, 526.0011]
[0.3867, 168.0899]
[0.3875, -351.3968]
[0.3883, -372.3052]
[0.3891, -167.192]
[0.3898, 348.3196]
[0.3906, 609.9854]
[0.3914, 297.7163]
[0.3922, -54.2574]
[0.393, -426.983]
[0.3938, -276.0299]
[0.3945, 244.2176]
[0.3953, 504.7759]
[0.3961, 566.9855]
[0.3969, 104.3124]
[0.3977, -330.6673]
[0.3984, -283.8533]
[0.3992, -28.0091]
[0.4, 513.5534]
[0.4008, 634.3555]
[0.4016, 284.4791]
[0.4023, -75.6512]
[0.4031, -401.6666]
[0.4039, -114.6163]
[0.4047, 370.8654]
[0.4055, 591.9935]
[0.4063, 570.8443]
[0.407, 29.733]
[0.4078, -300.9437]
[0.4086, -207.3102]
[0.4094, 110.2006]
[0.4102, 638.4364]
[0.4109, 616.244]
[0.4117, 251.6164]
[0.4125, -124.9993]
[0.4133, -371.845]
[0.4141, 26.8834]
[0.4148, 455.1667]
[0.4156, 643.2602]
[0.4164, 516.2043]
[0.4172, -65.2076]
[0.418, -285.9647]
[0.4188, -158.8798]
[0.4195, 227.159]
[0.4203, 699.199]
[0.4211, 548.0991]
[0.4219, 182.5246]
[0.4227, -211.049]
[0.4234, -347.6692]
[0.4242, 127.5608]
[0.425, 490.1559]
[0.4258, 644.6638]
[0.4266, 397.7368]
[0.4273, -179.4243]
[0.4281, -297.2148]
[0.4289, -139.5515]
[0.4297, 313.1636]
[0.4305, 689.7401]
[0.4313, 436.474]
[0.432, 74.3135]
[0.4328, -325.2088]
[0.4336, -328.174]
[0.4344, 183.7156]
[0.4352, 484.5575]
[0.4359, 596.4511]
[0.4367, 229.2705]
[0.4375, -299.633]
[0.4383, -330.0829]
[0.4391, -134.6129]
[0.4398, 371.177]
[0.4406, 623.066]
[0.4414, 300.9887]
[0.4422, -60.8013]
[0.443, -443.3272]
[0.4438, -302.1352]
[0.4445, 208.4143]
[0.4453, 459.3606]
[0.4461, 512.0678]
[0.4469, 40.0245]
[0.4477, -404.1705]
[0.4484, -366.3947]
[0.4492, -119.3899]
[0.45, 413.5534]
[0.4508, 525.9772]
[0.4516, 167.9836]
[0.4523, -199.9833]
[0.4531, -533.5358]
[0.4539, -253.7048]
[0.4547, 224.8926]
[0.4555, 439.4881]
[0.4563, 412.1736]
[0.457, -134.7206]
[0.4578, -470.7842]
[0.4586, -382.1283]
[0.4594, -69.174]
[0.4602, 454.9375]
[0.4609, 429.0628]
[0.4617, 61.2039]
[0.4625, -318.1844]
[0.4633, -567.3374]
[0.4641, -170.4453]
[0.4648, 256.4772]
[0.4656, 443.6884]
[0.4664, 316.2311]
[0.4672, -265.1005]
[0.468, -485.2957]
[0.4688, -357.1687]
[0.4695, 30.3898]
[0.4703, 504.4236]
[0.4711, 355.7868]
[0.4719, -6.8614]
[0.4727, -397.0525]
[0.4734, -529.842]
[0.4742, -50.3424]
[0.475, 316.9509]
[0.4758, 476.5741]
[0.4766, 235.1674]
[0.4773, -336.0817]
[0.4781, -447.5828]
[0.4789, -283.2679]
[0.4797, 176.4452]
[0.4805, 560.3489]
[0.4813, 314.7217]
[0.482, -39.5065]
[0.4828, -430.8224]
[0.4836, -425.3267]
[0.4844, 95.2578]
[0.4852, 405.0078]
[0.4859, 526.0011]
[0.4867, 168.0899]
[0.4875, -351.3968]
[0.4883, -372.3052]
[0.4891, -167.192]
[0.4898, 348.3196]
[0.4906, 609.9854]
[0.4914, 297.7163]
[0.4922, -54.2574]
[0.493, -426.983]
[0.4938, -276.0299]
[0.4945, 244.2176]
[0.4953, 504.7759]
[0.4961, 566.9855]
[0.4969, 104.3124]
[0.4977, -330.6673]
[0.4984, -283.8533]
[0.4992, -28.0091]
[0.5, 513.5534]
[0.5008, 634.3555]
[0.5016, 284.4791]
[0.5023, -75.6512]
[0.5031, -401.6666]
[0.5039, -114.6163]
[0.5047, 370.8654]
[0.5055, 591.9935]
[0.5063, 570.8443]
[0.507, 29.733]
[0.5078, -300.9437]
[0.5086, -207.3102]
[0.5094, 110.2006]
[0.5102, 638.4364]
[0.5109, 616.244]
[0.5117, 251.6164]
[0.5125, -124.9993]
[0.5133, -371.845]
[0.5141, 26.8834]
[0.5148, 455.1667]
[0.5156, 643.2602]
[0.5164, 516.2043]
[0.5172, -65.2076]
[0.518, -285.9647]
[0.5188, -158.8798]
[0.5195, 227.159]
[0.5203, 699.199]
[0.5211, 548.0991]
[0.5219, 182.5246]
[0.5227, -211.049]
[0.5234, -347.6692]
[0.5242, 127.5608]
[0.525, 490.1559]
[0.5258, 644.6638]
[0.5266, 397.7368]
[0.5273, -179.4243]
[0.5281, -297.2148]
[0.5289, -139.5515]
[0.5297, 313.1636]
[0.5305, 689.7401]
[0.5313, 436.474]
[0.532, 74.3135]
[0.5328, -325.2088]
[0.5336, -328.174]
[0.5344, 183.7156]
[0.5352, 484.5575]
[0.5359, 596.4511]
[0.5367, 229.2705]
[0.5375, -299.633]
[0.5383, -330.0829]
[0.5391, -134.6129]
[0.5398, 371.177]
[0.5406, 623.066]
[0.5414, 300.9887]
[0.5422, -60.8013]
[0.543, -443.3272]
[0.5438, -302.1352]
[0.5445, 208.4143]
[0.5453, 459.3606]
[0.5461, 512.0678]
[0.5469, 40.0245]
[0.5477, -404.1705]
[0.5484, -366.3947]
[0.5492, -119.3899]
[0.55, 413.5534]
[0.5508, 525.9772]
[0.5516, 167.9836]
[0.5523, -199.9833]
[0.5531, -533.5358]
[0.5539, -253.7048]
[0.5547, 224.8926]
[0.5555, 439.4881]
[0.5563, 412.1736]
[0.557, -134.7206]
[0.5578, -470.7842]
[0.5586, -382.1283]
[0.5594, -69.174]
[0.5602, 454.9375]
[0.5609, 429.0628]
[0.5617, 61.2039]
[0.5625, -318.1844]
[0.5633, -567.3374]
[0.5641, -170.4453]
[0.5648, 256.4772]
[0.5656, 443.6884]
[0.5664, 316.2311]
[0.5672, -265.1005]
[0.568, -485.2957]
[0.5688, -357.1687]
[0.5695, 30.3898]
[0.5703, 504.4236]
[0.5711, 355.7868]
[0.5719, -6.8614]
[0.5727, -397.0525]
[0.5734, -529.842]
[0.5742, -50.3424]
[0.575, 316.9509]
[0.5758, 476.5741]
[0.5766, 235.1674]
[0.5773, -336.0817]
[0.5781, -447.5828]
[0.5789, -283.2679]
[0.5797, 176.4452]
[0.5805, 560.3489]
[0.5813, 314.7217]
[0.582, -39.5065]
[0.5828, -430.8224]
[0.5836, -425.3267]
[0.5844, 95.2578]
[0.5852, 405.0078]
[0.5859, 526.0011]
[0.5867, 168.0899]
[0.5875, -351.3968]
[0.5883, -372.3052]
[0.5891, -167.192]
[0.5898, 348.3196]
[0.5906, 609.9854]
[0.5914, 297.7163]
[0.5922, -54.2574]
[0.593, -426.983]
[0.5937, -276.0299]
[0.5945, 244.2176]
[0.5953, 504.7759]
[0.5961, 566.9855]
[0.5969, 104.3124]
[0.5977, -330.6673]
[0.5984, -283.8533]
[0.5992, -28.0091]
[0.6, 513.5534]
[0.6008, 634.3555]
[0.6016, 284.4791]
[0.6023, -75.6512]
[0.6031, -401.6666]
[0.6039, -114.6163]
[0.6047, 370.8654]
[0.6055, 591.9935]
[0.6062, 570.8443]
[0.607, 29.733]
[0.6078, -300.9437]
[0.6086, -207.3102]
[0.6094, 110.2006]
[0.6102, 638.4364]
[0.6109, 616.244]
[0.6117, 251.6164]
[0.6125, -124.9993]
[0.6133, -371.845]
[0.6141, 26.8834]
[0.6148, 455.1667]
[0.6156, 643.2602]
[0.6164, 516.2043]
[0.6172, -65.2076]
[0.618, -285.9647]
[0.6187, -158.8798]
[0.6195, 227.159]
[0.6203, 699.199]
[0.6211, 548.0991]
[0.6219, 182.5246]
[0.6227, -211.049]
[0.6234, -347.6692]
[0.6242, 127.5608]
[0.625, 490.1559]
[0.6258, 644.6638]
[0.6266, 397.7368]
[0.6273, -179.4243]
[0.6281, -297.2148]
[0.6289, -139.5515]
[0.6297, 313.1636]
[0.6305, 689.7401]
[0.6312, 436.474]
[0.632, 74.3135]
[0.6328, -325.2088]
[0.6336, -328.174]
[0.6344, 183.7156]
[0.6352, 484.5575]
[0.6359, 596.4511]
[0.6367, 229.2705]
[0.6375, -299.633]
[0.6383, -330.0829]
[0.6391, -134.6129]
[0.6398, 371.177]
[0.6406, 623.066]
[0.6414, 300.9887]
[0.6422, -60.8013]
[0.643, -443.3272]
[0.6437, -302.1352]
[0.6445, 208.4143]
[0.6453, 459.3606]
[0.6461, 512.0678]
[0.6469, 40.0245]
[0.6477, -404.1705]
[0.6484, -366.3947]
[0.6492, -119.3899]
[0.65, 413.5534]
[0.6508, 525.9772]
[0.6516, 167.9836]
[0.6523, -199.9833]
[0.6531, -533.5358]
[0.6539, -253.7048]
[0.6547, 224.8926]
[0.6555, 439.4881]
[0.6562, 412.1736]
[0.657, -134.7206]
[0.6578, -470.7842]
[0.6586, -382.1283]
[0.6594, -69.174]
[0.6602, 454.9375]
[0.6609, 429.0628]
[0.6617, 61.2039]
[0.6625, -318.1844]
[0.6633, -567.3374]
[0.6641, -170.4453]
[0.6648, 256.4772]
[0.6656, 443.6884]
[0.6664, 316.2311]
[0.6672, -265.1005]
[0.668, -485.2957]
[0.6687, -357.1687]
[0.6695, 30.3898]
[0.6703, 504.4236]
[0.6711, 355.7868]
[0.6719, -6.8614]
[0.6727, -397.0525]
[0.6734, -529.842]
[0.6742, -50.3424]
[0.675, 316.9509]
[0.6758, 476.5741]
[0.6766, 235.1674]
[0.6773, -336.0817]
[0.6781, -447.5828]
[0.6789, -283.2679]
[0.6797, 176.4452]
[0.6805, 560.3489]
[0.6812, 314.7217]
[0.682, -39.5065]
[0.6828, -430.8224]
[0.6836, -425.3267]
[0.6844, 95.2578]
[0.6852, 405.0078]
[0.6859, 526.0011]
[0.6867, 168.0899]
[0.6875, -351.3968]
[0.6883, -372.3052]
[0.6891, -167.192]
[0.6898, 348.3196]
[0.6906, 609.9854]
[0.6914, 297.7163]
[0.6922, -54.2574]
[0.693, -426.983]
[0.6937, -276.0299]
[0.6945, 244.2176]
[0.6953, 504.7759]
[0.6961, 566.9855]
[0.6969, 104.3124]
[0.6977, -330.6673]
[0.6984, -283.8533]
[0.6992, -28.0091]
[0.7, 513.5534]
[0.7008, 634.3555]
[0.7016, 284.4791]
[0.7023, -75.6512]
[0.7031, -401.6666]
[0.7039, -114.6163]
[0.7047, 370.8654]
[0.7055, 591.9935]
[0.7062, 570.8443]
[0.707, 29.733]
[0.7078, -300.9437]
[0.7086, -207.3102]
[0.7094, 110.2006]
[0.7102, 638.4364]
[0.7109, 616.244]
[0.7117, 251.6164]
[0.7125, -124.9993]
[0.7133, -371.845]
[0.7141, 26.8834]
[0.7148, 455.1667]
[0.7156, 643.2602]
[0.7164, 516.2043]
[0.7172, -65.2076]
[0.718, -285.9647]
[0.7187, -158.8798]
[0.7195, 227.159]
[0.7203, 699.199]
[0.7211, 548.0991]
[0.7219, 182.5246]
[0.7227, -211.049]
[0.7234, -347.6692]
[0.7242, 127.5608]
[0.725, 490.1559]
[0.7258, 644.6638]
[0.7266, 397.7368]
[0.7273, -179.4243]
[0.7281, -297.2148]
[0.7289, -139.5515]
[0.7297, 313.1636]
[0.7305, 689.7401]
[0.7312, 436.474]
[0.732, 74.3135]
[0.7328, -325.2088]
[0.7336, -328.174]
[0.7344, 183.7156]
[0.7352, 484.5575]
[0.7359, 596.4511]
[0.7367, 229.2705]
[0.7375, -299.633]
[0.7383, -330.0829]
[0.7391, -134.6129]
[0.7398, 371.177]
[0.7406, 623.066]
[0.7414, 300.9887]
[0.7422, -60.8013]
[0.743, -443.3272]
[0.7437, -302.1352]
[0.7445, 208.4143]
[0.7453, 459.3606]
[0.7461, 512.0678]
[0.7469, 40.0245]
[0.7477, -404.1705]
[0.7484, -366.3947]
[0.7492, -119.3899]
[0.75, 413.5534]
[0.7508, 525.9772]
[0.7516, 167.9836]
[0.7523, -199.9833]
[0.7531, -533.5358]
[0.7539, -253.7048]
[0.7547, 224.8926]
[0.7555, 439.4881]
[0.7562, 412.1736]
[0.757, -134.7206]
[0.7578, -470.7842]
[0.7586, -382.1283]
[0.7594, -69.174]
[0.7602, 454.9375]
[0.7609, 429.0628]
[0.7617, 61.2039]
[0.7625, -318.1844]
[0.7633, -567.3374]
[0.7641, -170.4453]
[0.7648, 256.4772]
[0.7656, 443.6884]
[0.7664, 316.2311]
[0.7672, -265.1005]
[0.768, -485.2957]
[0.7687, -357.1687]
[0.7695, 30.3898]
[0.7703, 504.4236]
[0.7711, 355.7868]
[0.7719, -6.8614]
[0.7727, -397.0525]
[0.7734, -529.842]
[0.7742, -50.3424]
[0.775, 316.9509]
[0.7758, 476.5741]
[0.7766, 235.1674]
[0.7773, -336.0817]
[0.7781, -447.5828]
[0.7789, -283.2679]
[0.7797, 176.4452]
[0.7805, 560.3489]
[0.7812, 314.7217]
[0.782, -39.5065]
[0.7828, -430.8224]
[0.7836, -425.3267]
[0.7844, 95.2578]
[0.7852, 405.0078]
[0.7859, 526.0011]
[0.7867, 168.0899]
[0.7875, -351.3968]
[0.7883, -372.3052]
[0.7891, -167.192]
[0.7898, 348.3196]
[0.7906, 609.9854]
[0.7914, 297.7163]
[0.7922, -54.2574]
[0.793, -426.983]
[0.7937, -276.0299]
[0.7945, 244.2176]
[0.7953, 504.7759]
[0.7961, 566.9855]
[0.7969, 104.3124]
[0.7977, -330.6673]
[0.7984, -283.8533]
[0.7992, -28.0091]
[0.8, 513.5534]
[0.8008, 634.3555]
[0.8016, 284.4791]
[0.8023, -75.6512]
[0.8031, -401.6666]
[0.8039, -114.6163]
[0.8047, 370.8654]
[0.8055, 591.9935]
[0.8062, 570.8443]
[0.807, 29.733]
[0.8078, -300.9437]
[0.8086, -207.3102]
[0.8094, 110.2006]
[0.8102, 638.4364]
[0.8109, 616.244]
[0.8117, 251.6164]
[0.8125, -124.9993]
[0.8133, -371.845]
[0.8141, 26.8834]
[0.8148, 455.1667]
[0.8156, 643.2602]
[0.8164, 516.2043]
[0.8172, -65.2076]
[0.818, -285.9647]
[0.8187, -158.8798]
[0.8195, 227.159]
[0.8203, 699.199]
[0.8211, 548.0991]
[0.8219, 182.5246]
[0.8227, -211.049]
[0.8234, -347.6692]
[0.8242, 127.5608]
[0.825, 490.1559]
[0.8258, 644.6638]
[0.8266, 397.7368]
[0.8273, -179.4243]
[0.8281, -297.2148]
[0.8289, -139.5515]
[0.8297, 313.1636]
[0.8305, 689.7401]
[0.8312, 436.474]
[0.832, 74.3135]
[0.8328, -325.2088]
[0.8336, -328.174]
[0.8344, 183.7156]
[0.8352, 484.5575]
[0.8359, 596.4511]
[0.8367, 229.2705]
[0.8375, -299.633]
[0.8383, -330.0829]
[0.8391, -134.6129]
[0.8398, 371.177]
[0.8406, 623.066]
[0.8414, 300.9887]
[0.8422, -60.8013]
[0.843, -443.3272]
[0.8437, -302.1352]
[0.8445, 208.4143]
[0.8453, 459.3606]
[0.8461, 512.0678]
[0.8469, 40.0245]
[0.8477, -404.1705]
[0.8484, -366.3947]
[0.8492, -119.3899]
[0.85, 413.5534]
[0.8508, 525.9772]
[0.8516, 167.9836]
[0.8523, -199.9833]
[0.8531, -533.5358]
[0.8539, -253.7048]
